iter	Passed	Remaining
0	0	88
1	1	75
2	2	71
3	2	64
4	3	62
5	3	60
6	4	58
7	4	57
8	5	56
9	6	55
10	6	54
11	7	53
12	7	52
13	8	52
14	9	52
15	10	54
16	11	54
17	11	53
18	12	53
19	13	53
20	14	53
21	14	52
22	15	51
23	16	51
24	17	51
25	17	51
26	18	50
27	19	50
28	20	49
29	21	49
30	21	48
31	22	48
32	23	47
33	23	46
34	24	45
35	25	45
36	26	44
37	26	43
38	27	42
39	27	41
40	28	41
41	28	39
42	29	38
43	30	38
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	31
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	39	26
60	40	26
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	48	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	60	7
89	61	6
90	61	6
91	62	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
