iter	Passed	Remaining
0	59	59067
1	59	29878
2	60	20123
3	61	15259
4	61	12322
5	62	10365
6	63	8959
7	63	7913
8	64	7094
9	65	6439
10	65	5910
11	66	5471
12	67	5088
13	67	4778
14	68	4510
15	69	4264
16	70	4053
17	70	3859
18	71	3683
19	72	3531
20	72	3387
21	73	3261
22	74	3145
23	74	3037
24	75	2942
25	75	2846
26	76	2760
27	77	2680
28	77	2608
29	78	2541
30	79	2478
31	79	2418
32	80	2368
33	81	2321
34	82	2285
35	83	2240
36	84	2204
37	85	2164
38	86	2124
39	86	2083
40	87	2051
41	88	2016
42	89	1984
43	90	1956
44	91	1932
45	92	1909
46	92	1883
47	93	1856
48	96	1871
49	97	1850
50	98	1827
51	99	1806
52	99	1782
53	100	1764
54	101	1745
55	102	1728
56	103	1711
57	104	1694
58	104	1673
59	105	1656
60	106	1639
61	107	1622
62	109	1622
63	109	1608
64	110	1594
65	111	1580
66	112	1565
67	113	1549
68	113	1535
69	114	1520
70	115	1505
71	115	1491
72	116	1477
73	116	1463
74	117	1449
75	118	1436
76	118	1422
77	119	1408
78	119	1396
79	120	1384
80	121	1375
81	121	1365
82	122	1351
83	122	1340
84	123	1329
85	124	1320
86	124	1310
87	125	1300
88	126	1290
89	126	1281
90	127	1272
91	127	1262
92	128	1252
93	128	1242
94	129	1232
95	129	1223
96	130	1214
97	130	1205
98	131	1196
99	132	1188
100	132	1179
101	133	1173
102	133	1166
103	134	1161
104	135	1155
105	136	1148
106	136	1142
107	137	1134
108	138	1128
109	138	1121
110	139	1115
111	139	1109
112	140	1103
113	141	1096
114	141	1090
115	142	1083
116	142	1076
117	143	1070
118	143	1063
119	144	1058
120	144	1051
121	145	1045
122	145	1039
123	146	1034
124	147	1030
125	147	1025
126	148	1022
127	149	1017
128	150	1014
129	150	1009
130	151	1005
131	152	1000
132	152	996
133	153	992
134	154	988
135	154	983
136	155	979
137	156	975
138	156	971
139	157	967
140	158	963
141	158	958
142	159	954
143	160	951
144	160	947
145	162	949
146	163	947
147	163	943
148	164	939
149	165	936
150	166	934
151	167	932
152	167	928
153	168	925
154	169	923
155	170	920
156	170	918
157	171	915
158	172	912
159	173	910
160	174	907
161	177	919
162	179	919
163	180	920
164	181	918
165	182	916
166	183	917
167	185	920
168	187	920
169	188	920
170	189	920
171	190	919
172	191	916
173	192	913
174	193	911
175	194	908
176	194	905
177	195	903
178	196	900
179	197	899
180	198	896
181	198	894
182	199	890
183	200	887
184	200	883
185	201	881
186	202	879
187	202	876
188	203	873
189	204	871
190	204	867
191	205	865
192	206	862
193	206	859
194	207	857
195	208	854
196	209	852
197	209	850
198	210	848
199	211	846
200	212	844
201	213	842
202	214	840
203	215	841
204	216	840
205	217	838
206	218	835
207	218	832
208	219	830
209	220	828
210	221	826
211	222	825
212	222	823
213	223	821
214	224	820
215	225	817
216	226	816
217	226	813
218	227	812
219	228	811
220	229	809
221	230	806
222	230	804
223	231	802
224	232	800
225	233	798
226	233	796
227	234	794
228	235	792
229	236	791
230	237	789
231	238	788
232	238	786
233	239	783
234	240	781
235	240	779
236	241	777
237	242	775
238	242	773
239	243	771
240	244	769
241	245	768
242	245	766
243	246	765
244	247	763
245	248	762
246	249	761
247	250	760
248	251	759
249	252	757
250	253	755
251	253	753
252	255	753
253	255	751
254	256	749
255	258	750
256	259	750
257	260	748
258	260	746
259	261	744
260	262	743
261	263	742
262	264	742
263	265	740
264	266	738
265	266	736
266	267	734
267	268	733
268	269	731
269	269	729
270	271	729
271	272	728
272	272	726
273	273	724
274	274	722
275	275	721
276	276	720
277	276	718
278	277	717
279	278	715
280	279	714
281	279	712
282	280	710
283	281	709
284	282	708
285	283	706
286	283	704
287	284	703
288	285	701
289	285	699
290	286	697
291	287	696
292	287	694
293	288	692
294	289	691
295	289	689
296	290	687
297	291	686
298	292	685
299	293	684
300	294	683
301	295	682
302	296	681
303	296	679
304	297	678
305	298	677
306	299	675
307	300	674
308	300	672
309	301	671
310	302	669
311	302	667
312	303	666
313	304	665
314	305	664
315	306	663
316	307	662
317	308	661
318	309	660
319	310	659
320	311	658
321	312	657
322	312	655
323	313	654
324	314	653
325	315	652
326	316	650
327	316	649
328	317	648
329	318	647
330	319	645
331	320	644
332	321	642
333	322	643
334	323	642
335	324	641
336	325	639
337	326	638
338	327	638
339	328	637
340	329	636
341	330	635
342	331	635
343	332	633
344	333	632
345	333	631
346	334	630
347	335	628
348	336	627
349	337	625
350	337	624
351	338	623
352	339	621
353	339	620
354	340	618
355	341	617
356	341	615
357	342	614
358	343	613
359	344	612
360	345	611
361	346	609
362	346	608
363	347	607
364	348	605
365	349	604
366	349	603
367	350	602
368	351	600
369	351	599
370	352	598
371	353	596
372	354	595
373	354	593
374	355	592
375	355	590
376	356	589
377	357	588
378	358	587
379	359	586
380	360	585
381	360	583
382	361	582
383	362	580
384	362	579
385	363	578
386	364	577
387	365	575
388	365	574
389	366	572
390	367	571
391	367	570
392	368	569
393	369	567
394	369	566
395	370	565
396	371	564
397	372	563
398	373	561
399	373	560
400	374	559
401	375	558
402	376	557
403	376	555
404	377	554
405	378	553
406	378	551
407	379	550
408	379	549
409	380	547
410	381	546
411	381	545
412	382	543
413	383	542
414	383	541
415	384	539
416	385	538
417	385	537
418	386	536
419	387	535
420	388	534
421	389	533
422	390	532
423	390	531
424	391	530
425	392	529
426	393	528
427	394	527
428	395	525
429	395	524
430	396	523
431	396	521
432	397	520
433	398	519
434	399	518
435	400	517
436	400	516
437	401	515
438	402	514
439	403	513
440	404	512
441	404	510
442	405	509
443	406	508
444	407	507
445	408	506
446	408	505
447	409	504
448	410	503
449	410	502
450	411	500
451	412	499
452	412	498
453	413	497
454	414	495
455	414	494
456	415	493
457	415	492
458	416	490
459	417	489
460	417	488
461	418	487
462	418	485
463	419	484
464	420	483
465	420	482
466	421	480
467	421	479
468	422	478
469	422	476
470	423	475
471	423	474
472	424	472
473	424	471
474	426	471
475	427	470
476	428	469
477	428	468
478	429	466
479	429	465
480	430	464
481	431	463
482	431	462
483	432	460
484	432	459
485	433	458
486	434	457
487	434	456
488	435	454
489	435	453
490	436	452
491	436	451
492	437	449
493	438	448
494	438	447
495	439	446
496	440	445
497	441	444
498	442	443
499	446	446
500	447	445
501	448	444
502	449	444
503	450	443
504	451	442
505	451	441
506	452	439
507	453	438
508	453	437
509	454	436
510	455	435
511	456	434
512	457	434
513	458	433
514	459	432
515	459	431
516	460	430
517	461	429
518	462	428
519	462	427
520	463	425
521	464	424
522	464	423
523	465	422
524	466	421
525	466	420
526	467	419
527	468	418
528	469	417
529	469	416
530	470	415
531	471	414
532	472	413
533	473	412
534	473	411
535	474	410
536	475	409
537	475	408
538	476	407
539	476	406
540	477	404
541	477	403
542	478	402
543	479	401
544	480	400
545	480	399
546	481	398
547	482	397
548	483	396
549	484	396
550	484	395
551	485	394
552	486	393
553	487	392
554	487	390
555	488	389
556	488	388
557	489	387
558	489	386
559	490	385
560	491	384
561	492	383
562	492	382
563	493	381
564	493	380
565	494	379
566	494	377
567	495	376
568	496	375
569	497	375
570	498	374
571	499	373
572	499	372
573	500	371
574	500	370
575	501	369
576	502	368
577	502	366
578	503	365
579	503	364
580	504	363
581	504	362
582	505	361
583	505	360
584	506	359
585	506	358
586	507	356
587	507	355
588	508	354
589	508	353
590	509	352
591	510	351
592	510	350
593	511	349
594	512	348
595	512	347
596	513	346
597	513	345
598	514	344
599	514	343
600	515	342
601	515	341
602	516	340
603	516	338
604	517	337
605	517	336
606	518	335
607	519	334
608	519	333
609	520	332
610	520	331
611	521	330
612	521	329
613	522	328
614	522	327
615	523	326
616	524	325
617	524	324
618	525	323
619	525	322
620	526	321
621	527	320
622	527	319
623	528	318
624	528	317
625	529	316
626	529	315
627	530	314
628	530	312
629	531	311
630	531	310
631	532	309
632	532	308
633	533	307
634	533	306
635	534	305
636	535	304
637	535	303
638	536	302
639	536	301
640	537	300
641	537	299
642	538	298
643	539	297
644	539	297
645	540	296
646	540	295
647	541	294
648	542	293
649	542	292
650	543	291
651	543	290
652	544	289
653	544	288
654	545	287
655	545	286
656	545	285
657	546	284
658	546	283
659	547	282
660	548	281
661	548	280
662	548	279
663	549	278
664	550	277
665	550	276
666	551	275
667	551	274
668	552	273
669	552	272
670	553	271
671	553	270
672	554	269
673	554	268
674	555	267
675	556	266
676	556	265
677	556	264
678	557	263
679	557	262
680	558	261
681	558	260
682	559	259
683	559	258
684	560	257
685	560	256
686	561	255
687	561	254
688	562	253
689	562	252
690	563	251
691	563	251
692	564	250
693	565	249
694	565	248
695	566	247
696	566	246
697	567	245
698	567	244
699	568	243
700	569	242
701	569	241
702	570	240
703	570	239
704	571	238
705	571	238
706	571	237
707	572	236
708	573	235
709	573	234
710	573	233
711	574	232
712	574	231
713	575	230
714	575	229
715	576	228
716	576	227
717	577	226
718	577	225
719	578	224
720	578	223
721	579	223
722	579	222
723	580	221
724	581	220
725	581	219
726	582	218
727	582	217
728	583	216
729	583	215
730	584	215
731	584	214
732	585	213
733	585	212
734	586	211
735	586	210
736	587	209
737	587	208
738	588	207
739	588	206
740	589	205
741	589	205
742	590	204
743	590	203
744	591	202
745	591	201
746	592	200
747	593	199
748	594	199
749	595	198
750	596	197
751	597	196
752	597	196
753	598	195
754	598	194
755	599	193
756	600	192
757	600	191
758	601	190
759	601	190
760	602	189
761	603	188
762	603	187
763	604	186
764	604	185
765	605	184
766	606	184
767	607	183
768	609	182
769	609	182
770	610	181
771	611	180
772	612	179
773	613	179
774	614	178
775	615	177
776	615	176
777	616	175
778	617	175
779	618	174
780	619	173
781	619	172
782	621	172
783	622	171
784	623	170
785	634	172
786	635	171
787	640	172
788	642	171
789	643	170
790	644	170
791	646	169
792	647	168
793	649	168
794	650	167
795	651	166
796	652	166
797	653	165
798	657	165
799	659	164
800	659	163
801	660	163
802	661	162
803	662	161
804	663	160
805	664	160
806	665	159
807	666	158
808	667	157
809	668	156
810	669	156
811	670	155
812	671	154
813	671	153
814	673	152
815	674	152
816	675	151
817	676	150
818	677	149
819	678	148
820	678	148
821	679	147
822	680	146
823	681	145
824	682	144
825	682	143
826	683	142
827	685	142
828	686	141
829	687	140
830	688	140
831	690	139
832	691	138
833	692	137
834	693	137
835	694	136
836	695	135
837	697	134
838	698	134
839	699	133
840	700	132
841	700	131
842	701	130
843	702	129
844	702	128
845	703	128
846	704	127
847	705	126
848	706	125
849	706	124
850	707	123
851	708	123
852	709	122
853	709	121
854	710	120
855	710	119
856	711	118
857	712	117
